+-------------------------------------------------------------------------------------+
| actor                                                             |  average rating |
| Sener Sen                                                         |             8.3 |
| Ugur Yücel                                                        |             8.3 |
| Sermin Hürmeriç                                                   |             8.3 |
| Yesim Salkim                                                      |             8.3 |
| Don Rickles                                                       |             8.3 |
| Jim Varney                                                        |             8.3 |
| Mel Gibson                                                        |             8.3 |
| Sophie Marceau                                                    |             8.3 |
| Patrick McGoohan                                                  |             8.3 |
| Angus Macfadyen                                                   |             8.3 |
| Harvey Keitel                                                     |             8.3 |
| Tim Roth                                                          |             8.3 |
| Chris Penn                                                        |             8.3 |
| Matthew Modine                                                    |             8.3 |
| R. Lee Ermey                                                      |             8.3 |
| Vincent D`Onofrio                                                 |             8.3 |
| Adam Baldwin                                                      |             8.3 |
| Aleksey Kravchenko                                                |             8.3 |
| Olga Mironova                                                     |             8.3 |
| Liubomiras Laucevicius                                            |             8.3 |
| Vladas Bagdonas                                                   |             8.3 |
| Carrie Henn                                                       |             8.3 |
| Tom Hulce                                                         |             8.3 |
| Elizabeth Berridge                                                |             8.3 |
| Roy Dotrice                                                       |             8.3 |
| Michelle Pfeiffer                                                 |             8.3 |
| Steven Bauer                                                      |             8.3 |
| Mary Elizabeth Mastrantonio                                       |             8.3 |
| Jürgen Prochnow                                                   |             8.3 |
| Herbert Grönemeyer                                                |             8.3 |
| Klaus Wennemann                                                   |             8.3 |
| Hubertus Bengsch                                                  |             8.3 |
| Cybill Shepherd                                                   |             8.3 |
| Robert Shaw                                                       |             8.3 |
| Charles Durning                                                   |             8.3 |
| Malcolm McDowell                                                  |             8.3 |
| Michael Bates                                                     |             8.3 |
| Warren Clarke                                                     |             8.3 |
| Keir Dullea                                                       |             8.3 |
| Gary Lockwood                                                     |             8.3 |
| William Sylvester                                                 |             8.3 |
| Daniel Richter                                                    |             8.3 |
| Gian Maria Volontè                                                |             8.3 |
| Mara Krupp                                                        |             8.3 |
| Peter O`Toole                                                     |             8.3 |
| Anthony Quinn                                                     |             8.3 |
| Shirley MacLaine                                                  |             8.3 |
| Fred MacMurray                                                    |             8.3 |
| Ray Walston                                                       |             8.3 |
| Cary Grant                                                        |             8.3 |
| Eva Marie Saint                                                   |             8.3 |
| James Mason                                                       |             8.3 |
| Jessie Royce Landis                                               |             8.3 |
| Kim Novak                                                         |             8.3 |
| Barbara Bel Geddes                                                |             8.3 |
| Tom Helmore                                                       |             8.3 |
| Gene Kelly                                                        |             8.3 |
| Donald O`Connor                                                   |             8.3 |
| Debbie Reynolds                                                   |             8.3 |
| Jean Hagen                                                        |             8.3 |
| Nobuo Kaneko                                                      |             8.3 |
| Shin`ichi Himori                                                  |             8.3 |
| Haruo Tanaka                                                      |             8.3 |
| Lamberto Maggiorani                                               |             8.3 |
| Enzo Staiola                                                      |             8.3 |
| Lianella Carell                                                   |             8.3 |
| Elena Altieri                                                     |             8.3 |
| Barbara Stanwyck                                                  |             8.3 |
| Edward G. Robinson                                                |             8.3 |
| Byron Barr                                                        |             8.3 |
| Dorothy Comingore                                                 |             8.3 |
| Agnes Moorehead                                                   |             8.3 |
| Peter Lorre                                                       |             8.3 |
| Ellen Widmann                                                     |             8.3 |
| Inge Landgut                                                      |             8.3 |
| Otto Wernicke                                                     |             8.3 |
| Brigitte Helm                                                     |             8.3 |
| Alfred Abel                                                       |             8.3 |
| Gustav Fröhlich                                                   |             8.3 |
| Rudolf Klein-Rogge                                                |             8.3 |
| Edna Purviance                                                    |             8.3 |
| Jackie Coogan                                                     |             8.3 |
| Carl Miller                                                       |             8.3 |
| Russell Crowe                                                     |             8.3 |
| Mahershala Ali                                                    |             8.3 |
| Sharman Joshi                                                     |             8.3 |
| Guy Pearce                                                        |             8.3 |
| James Woods                                                       |             8.3 |
| Marlene Dietrich                                                  |             8.3 |
| Grace Kelly                                                       |             8.3 |
| Mark Ruffalo                                                      |             8.3 |
| Aamir Khan                                                        |             8.3 |
| Arnold Schwarzenegger                                             |             8.2 |
| Linda Hamilton                                                    |             8.2 |
| Gael García Bernal                                                |             8.2 |
| Martin Sheen                                                      |             8.2 |
| John Hurt                                                         |             8.2 |
| Kirk Douglas                                                      |             8.2 |
| Tabu                                                              |             8.2 |
| Jason Statham                                                     |             8.2 |
| Jennifer Connelly                                                 |             8.2 |
| Jack Lemmon                                                       |             8.2 |
| Hugh Jackman                                                      |             8.2 |
| Tom Hardy                                                         |             8.2 |
| Jim Carrey                                                        |             8.2 |
| Ben Affleck                                                       |             8.2 |
| Michael Madsen                                                    |             8.2 |
| F. Murray Abraham                                                 |             8.2 |
| Albert Brooks                                                     |             8.2 |
| Patrick Magee                                                     |             8.2 |
| Orson Welles                                                      |             8.2 |
| Joseph Cotten                                                     |             8.2 |
| William Holden                                                    |             8.2 |
| Noémie Merlant                                                    |             8.2 |
| Adèle Haenel                                                      |             8.2 |
| Luàna Bajrami                                                     |             8.2 |
| Valeria Golino                                                    |             8.2 |
| Linda Cardellini                                                  |             8.2 |
| Sebastian Maniscalco                                              |             8.2 |
| Sam Rockwell                                                      |             8.2 |
| Caleb Landry Jones                                                |             8.2 |
| Jason Schwartzman                                                 |             8.2 |
| Rashida Jones                                                     |             8.2 |
| Will Sasso                                                        |             8.2 |
| Ajay Devgn                                                        |             8.2 |
| Shriya Saran                                                      |             8.2 |
| Rajat Kapoor                                                      |             8.2 |
| Haluk Bilginer                                                    |             8.2 |
| Melisa Sözen                                                      |             8.2 |
| Demet Akbag                                                       |             8.2 |
| Ayberk Pekcan                                                     |             8.2 |
| Manoj Bajpayee                                                    |             8.2 |
| Richa Chadha                                                      |             8.2 |
| Nawazuddin Siddiqui                                               |             8.2 |
| Tigmanshu Dhulia                                                  |             8.2 |
| Ricardo Darín                                                     |             8.2 |
| Soledad Villamil                                                  |             8.2 |
| Pablo Rago                                                        |             8.2 |
| Carla Quevedo                                                     |             8.2 |
| Nick Nolte                                                        |             8.2 |
| Joel Edgerton                                                     |             8.2 |
| Jennifer Morrison                                                 |             8.2 |
| Edward Asner                                                      |             8.2 |
| Jordan Nagai                                                      |             8.2 |
| John Ratzenberger                                                 |             8.2 |
| Christopher Plummer                                               |             8.2 |
| Jonah Hill                                                        |             8.2 |
| Margot Robbie                                                     |             8.2 |
| Paul Dano                                                         |             8.2 |
| Ciarán Hinds                                                      |             8.2 |
| Martin Stringer                                                   |             8.2 |
| Ivana Baquero                                                     |             8.2 |
| Ariadna Gil                                                       |             8.2 |
| Sergi López                                                       |             8.2 |
| Maribel Verdú                                                     |             8.2 |
| Rupert Graves                                                     |             8.2 |
| Stephen Rea                                                       |             8.2 |
| Soha Ali Khan                                                     |             8.2 |
| Siddharth                                                         |             8.2 |
| Bruno Ganz                                                        |             8.2 |
| Ulrich Matthes                                                    |             8.2 |
| Juliane Köhler                                                    |             8.2 |
| Chieko Baishô                                                     |             8.2 |
| Takuya Kimura                                                     |             8.2 |
| Tatsuya Gashûin                                                   |             8.2 |
| Akihiro Miwa                                                      |             8.2 |
| Jason Flemyng                                                     |             8.2 |
| Dexter Fletcher                                                   |             8.2 |
| Nick Moran                                                        |             8.2 |
| Kim Basinger                                                      |             8.2 |
| Val Kilmer                                                        |             8.2 |
| Jon Voight                                                        |             8.2 |
| Sharon Stone                                                      |             8.2 |
| Gene Hackman                                                      |             8.2 |
| Richard Harris                                                    |             8.2 |
| Sean Connery                                                      |             8.2 |
| Alison Doody                                                      |             8.2 |
| Denholm Elliott                                                   |             8.2 |
| Hitoshi Takagi                                                    |             8.2 |
| Noriko Hidaka                                                     |             8.2 |
| Chika Sakamoto                                                    |             8.2 |
| Shigesato Itoi                                                    |             8.2 |
| Alan Rickman                                                      |             8.2 |
| Bonnie Bedelia                                                    |             8.2 |
| Reginald VelJohnson                                               |             8.2 |
| Akira Terao                                                       |             8.2 |
| Jinpachi Nezu                                                     |             8.2 |
| Daisuke Ryû                                                       |             8.2 |
| Cathy Moriarty                                                    |             8.2 |
| Frank Vincent                                                     |             8.2 |
| Alisa Freyndlikh                                                  |             8.2 |
| Aleksandr Kaydanovskiy                                            |             8.2 |
| Anatoliy Solonitsyn                                               |             8.2 |
| Nikolay Grinko                                                    |             8.2 |
| Eric Idle                                                         |             8.2 |
| John Huston                                                       |             8.2 |
| Perry Lopez                                                       |             8.2 |
| Ivan Lapikov                                                      |             8.2 |
| Nikolay Sergeev                                                   |             8.2 |
| Steve McQueen                                                     |             8.2 |
| James Garner                                                      |             8.2 |
| Gregory Peck                                                      |             8.2 |
| John Megna                                                        |             8.2 |
| Frank Overton                                                     |             8.2 |
| Rosemary Murphy                                                   |             8.2 |
| Eijirô Tôno                                                       |             8.2 |
| Yôko Tsukasa                                                      |             8.2 |
| Spencer Tracy                                                     |             8.2 |
| Burt Lancaster                                                    |             8.2 |
| Richard Widmark                                                   |             8.2 |
| Marilyn Monroe                                                    |             8.2 |
| Tony Curtis                                                       |             8.2 |
| George Raft                                                       |             8.2 |
| Victor Sjöström                                                   |             8.2 |
| Ingrid Thulin                                                     |             8.2 |
| Max von Sydow                                                     |             8.2 |
| Bengt Ekerot                                                      |             8.2 |
| Nils Poppe                                                        |             8.2 |
| Ray Milland                                                       |             8.2 |
| Robert Cummings                                                   |             8.2 |
| John Williams                                                     |             8.2 |
| Chishû Ryû                                                        |             8.2 |
| Chieko Higashiyama                                                |             8.2 |
| Sô Yamamura                                                       |             8.2 |
| Setsuko Hara                                                      |             8.2 |
| Machiko Kyô                                                       |             8.2 |
| Masayuki Mori                                                     |             8.2 |
| Bette Davis                                                       |             8.2 |
| Anne Baxter                                                       |             8.2 |
| Celeste Holm                                                      |             8.2 |
| Walter Huston                                                     |             8.2 |
| Tim Holt                                                          |             8.2 |
| Bruce Bennett                                                     |             8.2 |
| Carole Lombard                                                    |             8.2 |
| Jack Benny                                                        |             8.2 |
| Robert Stack                                                      |             8.2 |
