+-------------------------------------------------------------------------------------+
| actor                                                             | number of films |
| Sterling Hayden                                                   |               1 |
| Keenan Wynn                                                       |               1 |
| Tyrone Power                                                      |               1 |
| Charles Laughton                                                  |               1 |
| Elsa Lanchester                                                   |               1 |
| Ralph Meeker                                                      |               1 |
| Adolphe Menjou                                                    |               1 |
| George Macready                                                   |               1 |
| Wendell Corey                                                     |               1 |
| Thelma Ritter                                                     |               1 |
| Gloria Swanson                                                    |               1 |
| Erich von Stroheim                                                |               1 |
| Nancy Olson                                                       |               1 |
| Jack Oakie                                                        |               1 |
| Reginald Gardiner                                                 |               1 |
| Dean-Charles Chapman                                              |               1 |
| George MacKay                                                     |               1 |
| Daniel Mays                                                       |               1 |
| Colin Firth                                                       |               1 |
| Ayushmann Khurrana                                                |               1 |
| Radhika Apte                                                      |               1 |
| Anil Dhawan                                                       |               1 |
| Mads Mikkelsen                                                    |               1 |
| Thomas Bo Larsen                                                  |               1 |
| Annika Wedderkopp                                                 |               1 |
| Lasse Fogelstrøm                                                  |               1 |
| Payman Maadi                                                      |               1 |
| Leila Hatami                                                      |               1 |
| Sareh Bayat                                                       |               1 |
| Shahab Hosseini                                                   |               1 |
| Lubna Azabal                                                      |               1 |
| Mélissa Désormeaux-Poulin                                         |               1 |
| Maxim Gaudette                                                    |               1 |
| Mustafa Kamel                                                     |               1 |
| Çetin Tekindor                                                    |               1 |
| Fikret Kuskan                                                     |               1 |
| Hümeyra                                                           |               1 |
| Ege Tanman                                                        |               1 |
| Joan Cusack                                                       |               1 |
| Ned Beatty                                                        |               1 |
| Diane Kruger                                                      |               1 |
| Eli Roth                                                          |               1 |
| Mélanie Laurent                                                   |               1 |
| Kate Winslet                                                      |               1 |
| Tom Wilkinson                                                     |               1 |
| Gerry Robert Byrne                                                |               1 |
| Audrey Tautou                                                     |               1 |
| Mathieu Kassovitz                                                 |               1 |
| Rufus                                                             |               1 |
| Lorella Cravotta                                                  |               1 |
| Benicio Del Toro                                                  |               1 |
| Dennis Farina                                                     |               1 |
| Ellen Burstyn                                                     |               1 |
| Jared Leto                                                        |               1 |
| Marlon Wayans                                                     |               1 |
| Annette Bening                                                    |               1 |
| Thora Birch                                                       |               1 |
| Wes Bentley                                                       |               1 |
| Stellan Skarsgård                                                 |               1 |
| Mohammad Amir Naji                                                |               1 |
| Amir Farrokh Hashemian                                            |               1 |
| Bahare Seddiqi                                                    |               1 |
| Nafise Jafar-Mohammadi                                            |               1 |
| Sener Sen                                                         |               1 |
| Ugur Yücel                                                        |               1 |
| Sermin Hürmeriç                                                   |               1 |
